Cost 32532
Edges 257
E 11 9
E 36 4
E 58 57
E 59 43
E 59 57
E 82 81
E 83 67
E 90 82
E 100 98
E 114 98
E 114 113
E 117 113
E 123 59
E 139 137
E 148 20
E 152 136
E 156 140
E 156 154
E 167 135
E 168 166
E 169 137
E 175 167
E 176 175
E 186 170
E 194 193
E 196 194
E 200 196
E 204 140
E 209 193
E 219 203
E 227 225
E 240 236
E 258 257
E 260 258
E 267 11
E 272 16
E 279 263
E 285 269
E 299 291
E 311 279
E 327 325
E 329 321
E 330 329
E 332 76
E 337 81
E 337 321
E 338 82
E 340 84
E 348 332
E 349 285
E 352 348
E 356 100
E 358 326
E 363 299
E 365 357
E 366 362
E 367 365
E 377 361
E 381 373
E 383 367
E 383 381
E 384 352
E 411 155
E 415 287
E 415 411
E 418 417
E 421 417
E 422 166
E 423 295
E 426 170
E 426 298
E 429 421
E 431 427
E 434 178
E 443 427
E 445 429
E 445 441
E 447 415
E 447 431
E 461 397
E 466 210
E 473 409
E 481 225
E 492 460
E 492 490
E 494 366
E 498 482
E 5 1
E 24 20
E 28 27
E 32 16
E 32 31
E 43 11
E 58 26
E 62 58
E 84 83
E 88 24
E 117 85
E 129 1
E 133 5
E 136 135
E 139 11
E 154 26
E 156 148
E 157 29
E 161 129
E 168 40
E 177 145
E 177 161
E 179 177
E 185 177
E 186 58
E 186 185
E 203 139
E 205 141
E 209 145
E 210 194
E 216 88
E 219 155
E 220 219
E 221 217
E 222 221
E 231 227
E 232 200
E 236 204
E 240 176
E 260 4
E 262 6
E 270 262
E 270 269
E 287 279
E 287 285
E 295 263
E 304 272
E 320 304
E 321 257
E 325 321
E 340 338
E 342 341
E 350 349
E 353 321
E 354 353
E 356 354
E 358 354
E 358 357
E 361 353
E 362 330
E 367 363
E 377 345
E 384 320
E 396 140
E 397 141
E 400 396
E 407 405
E 410 154
E 414 286
E 414 410
E 422 421
E 426 418
E 435 307
E 439 183
E 439 423
E 441 409
E 443 435
E 460 204
E 476 220
E 482 418
E 482 481
E 494 490
E 27 11
E 31 29
E 32 28
E 52 20
E 62 30
E 90 89
E 157 141
E 217 89
E 232 230
E 323 67
E 331 267
E 344 88
E 344 342
E 347 331
E 354 322
E 355 323
E 407 279
E 473 457
E 508 476
E 512 508
E 134 6
E 178 177
E 195 67
E 492 491
E 15 11
E 20 18
E 48 40
E 76 12
E 93 85
E 124 123
E 125 117
E 142 134
E 152 151
E 164 36
E 187 179
E 190 62
E 193 65
E 200 72
E 202 194
E 205 197
E 212 148
E 224 222
E 239 231
E 279 275
E 288 286
E 298 290
E 301 269
E 343 341
E 346 345
E 347 91
E 355 99
E 364 362
E 373 369
E 386 258
E 392 136
E 412 156
E 432 400
E 437 405
E 442 434
E 463 461
E 465 337
E 491 459
E 500 498
E 30 22
E 153 137
E 165 133
E 169 41
E 183 55
E 234 170
E 241 177
E 248 216
E 261 5
E 312 311
E 315 307
E 334 326
E 359 327
E 414 413
E 419 291
E 512 511
E 52 50
E 102 98
E 324 322
E 486 230
E 195 131
E 265 9
E 382 350
E 489 457
E 470 466
