Cost 218
Edges 154
E 2 1
E 3 1
E 4 2
E 5 1
E 6 2
E 7 3
E 8 4
E 9 1
E 10 2
E 11 3
E 13 5
E 14 6
E 16 8
E 17 1
E 19 3
E 20 4
E 21 5
E 23 7
E 24 8
E 25 9
E 26 10
E 27 11
E 28 20
E 29 13
E 30 14
E 31 23
E 32 16
E 34 2
E 35 3
E 36 4
E 37 5
E 38 6
E 39 7
E 42 10
E 44 36
E 45 13
E 47 39
E 49 17
E 52 20
E 53 21
E 56 24
E 58 26
E 59 27
E 60 28
E 61 29
E 62 30
E 63 31
E 68 4
E 69 5
E 70 6
E 71 7
E 73 9
E 74 10
E 75 11
E 78 14
E 79 71
E 81 17
E 84 20
E 86 70
E 87 23
E 90 26
E 96 32
E 103 39
E 105 73
E 106 42
E 108 44
E 111 47
E 113 49
E 116 52
E 120 56
E 126 62
E 127 63
E 130 2
E 136 8
E 144 16
E 156 28
E 157 29
E 163 35
E 166 38
E 176 144
E 181 53
E 186 58
E 203 75
E 207 79
E 209 81
E 214 86
E 230 166
E 233 105
E 244 116
E 255 127
E 12 4
E 15 7
E 18 2
E 22 6
E 41 9
E 48 16
E 50 34
E 55 23
E 65 1
E 72 8
E 91 27
E 93 29
E 99 35
E 102 38
E 124 60
E 125 61
E 131 3
E 142 14
E 151 23
E 153 25
E 164 36
E 165 37
E 187 59
E 190 62
E 197 69
E 202 74
E 212 84
E 224 96
E 234 106
E 239 111
E 241 113
E 248 120
E 261 5
E 265 9
E 275 19
E 288 32
E 290 34
E 301 45
E 312 56
E 315 59
E 324 68
E 334 78
E 343 87
E 346 90
E 359 103
E 364 108
E 369 113
E 382 126
E 386 130
E 392 136
E 412 156
E 413 157
E 419 163
E 432 176
E 437 181
E 442 186
E 459 203
E 463 207
E 465 209
E 470 214
E 486 230
E 489 233
E 500 244
E 511 255
