Cost 10215
Edges 101
E 3 67
E 3 35
E 3 7
E 4 68
E 6 14
E 9 41
E 14 78
E 16 80
E 17 25
E 22 30
E 26 58
E 26 28
E 37 101
E 39 55
E 51 55
E 52 56
E 61 62
E 62 126
E 66 82
E 67 83
E 70 102
E 75 76
E 93 95
E 98 114
E 101 109
E 101 102
E 103 104
E 109 110
E 112 128
E 113 121
E 118 120
E 120 128
E 121 123
E 125 127
E 1 33
E 11 75
E 17 49
E 21 22
E 25 27
E 25 26
E 29 93
E 30 62
E 33 41
E 34 42
E 35 51
E 37 39
E 38 54
E 38 40
E 39 103
E 40 104
E 49 113
E 55 56
E 60 64
E 66 98
E 71 87
E 72 104
E 72 80
E 73 75
E 79 95
E 79 80
E 81 82
E 91 123
E 98 106
E 101 117
E 102 118
E 110 126
E 113 117
E 115 116
E 125 126
E 1 3
E 6 22
E 9 11
E 10 26
E 13 29
E 18 20
E 20 28
E 25 57
E 27 31
E 34 38
E 36 100
E 36 40
E 42 106
E 42 44
E 59 60
E 66 68
E 68 84
E 69 70
E 70 86
E 95 96
E 97 113
E 7 71
E 19 83
E 26 90
E 57 59
E 100 108
E 107 108
E 116 124
E 20 24
E 39 47
E 83 115
E 14 46
