Cost 383
Edges 383
E 1 129
E 1 65
E 1 33
E 1 17
E 1 9
E 1 5
E 1 3
E 1 2
E 2 258
E 2 130
E 2 66
E 2 34
E 2 18
E 2 10
E 2 6
E 2 4
E 3 259
E 3 131
E 3 67
E 3 35
E 3 19
E 3 11
E 3 7
E 4 132
E 4 68
E 4 36
E 4 20
E 4 12
E 4 8
E 5 261
E 5 133
E 5 69
E 5 37
E 5 21
E 5 13
E 6 134
E 6 70
E 6 38
E 6 22
E 6 14
E 7 135
E 7 71
E 7 39
E 7 23
E 7 15
E 8 264
E 8 136
E 8 72
E 8 40
E 8 24
E 8 16
E 9 265
E 9 137
E 9 73
E 9 41
E 9 25
E 10 138
E 10 74
E 10 42
E 10 26
E 11 139
E 11 75
E 11 43
E 11 27
E 12 268
E 12 140
E 12 76
E 12 44
E 12 28
E 13 141
E 13 77
E 13 45
E 13 29
E 14 270
E 14 142
E 14 78
E 14 46
E 14 30
E 15 271
E 15 143
E 15 79
E 15 47
E 15 31
E 16 144
E 16 80
E 16 48
E 16 32
E 17 273
E 17 145
E 17 81
E 17 49
E 18 146
E 18 82
E 18 50
E 19 147
E 19 83
E 19 51
E 20 276
E 20 148
E 20 84
E 20 52
E 21 149
E 21 85
E 21 53
E 22 278
E 22 150
E 22 86
E 22 54
E 23 279
E 23 151
E 23 87
E 23 55
E 24 152
E 24 88
E 24 56
E 25 153
E 25 89
E 25 57
E 26 282
E 26 154
E 26 90
E 26 58
E 27 283
E 27 155
E 27 91
E 27 59
E 28 156
E 28 92
E 28 60
E 29 285
E 29 157
E 29 93
E 29 61
E 30 158
E 30 94
E 30 62
E 31 159
E 31 95
E 31 63
E 32 288
E 32 160
E 32 96
E 32 64
E 33 289
E 33 161
E 33 97
E 34 162
E 34 98
E 35 163
E 35 99
E 36 292
E 36 164
E 36 100
E 37 165
E 37 101
E 38 294
E 38 166
E 38 102
E 39 295
E 39 167
E 39 103
E 40 168
E 40 104
E 41 169
E 41 105
E 42 298
E 42 170
E 42 106
E 43 299
E 43 171
E 43 107
E 44 172
E 44 108
E 45 301
E 45 173
E 45 109
E 46 174
E 46 110
E 47 175
E 47 111
E 48 304
E 48 176
E 48 112
E 49 177
E 49 113
E 50 306
E 50 178
E 50 114
E 51 307
E 51 179
E 51 115
E 52 180
E 52 116
E 53 309
E 53 181
E 53 117
E 54 182
E 54 118
E 55 183
E 55 119
E 56 312
E 56 184
E 56 120
E 57 313
E 57 185
E 57 121
E 58 186
E 58 122
E 59 187
E 59 123
E 60 316
E 60 188
E 60 124
E 61 189
E 61 125
E 62 318
E 62 190
E 62 126
E 63 319
E 63 191
E 63 127
E 64 192
E 64 128
E 65 321
E 65 193
E 66 194
E 67 195
E 68 324
E 68 196
E 69 197
E 70 326
E 70 198
E 71 327
E 71 199
E 72 200
E 73 201
E 74 330
E 74 202
E 75 331
E 75 203
E 76 204
E 77 333
E 77 205
E 78 206
E 79 207
E 80 336
E 80 208
E 81 209
E 82 338
E 82 210
E 83 339
E 83 211
E 84 212
E 85 341
E 85 213
E 86 214
E 87 215
E 88 344
E 88 216
E 89 345
E 89 217
E 90 218
E 91 219
E 92 348
E 92 220
E 93 221
E 94 350
E 94 222
E 95 351
E 95 223
E 96 224
E 97 225
E 98 354
E 98 226
E 99 355
E 99 227
E 100 228
E 101 357
E 101 229
E 102 230
E 103 231
E 104 360
E 104 232
E 105 361
E 105 233
E 106 234
E 107 235
E 108 364
E 108 236
E 109 237
E 110 366
E 110 238
E 111 367
E 111 239
E 112 240
E 113 369
E 113 241
E 114 242
E 115 243
E 116 372
E 116 244
E 117 245
E 118 374
E 118 246
E 119 375
E 119 247
E 120 248
E 121 249
E 122 378
E 122 250
E 123 379
E 123 251
E 124 252
E 125 381
E 125 253
E 126 254
E 127 255
E 128 384
E 128 256
E 129 385
E 132 388
E 134 390
E 135 391
E 138 394
E 139 395
E 141 397
E 144 400
E 146 402
E 147 403
E 149 405
E 152 408
E 153 409
E 156 412
E 158 414
E 159 415
E 162 418
E 163 419
E 165 421
E 168 424
E 169 425
E 172 428
E 174 430
E 175 431
E 177 433
E 180 436
E 182 438
E 183 439
E 186 442
E 187 443
E 189 445
E 192 448
E 194 450
E 195 451
E 197 453
E 200 456
E 201 457
E 204 460
E 206 462
E 207 463
E 209 465
E 212 468
E 214 470
E 215 471
E 218 474
E 219 475
E 221 477
E 224 480
E 225 481
E 228 484
E 230 486
E 231 487
E 234 490
E 235 491
E 237 493
E 240 496
E 242 498
E 243 499
E 245 501
E 248 504
E 249 505
E 252 508
E 254 510
E 255 511
